1504061048603,448.85553,2.1752713,-9.272705
1504061048704,449.50623,2.1791532,-10.666504
1504061048815,450.5113,2.1704917,-12.710449
1504061048919,451.31592,2.1754968,-14.243652
1504061049028,452.2965,2.1681077,-15.98291
1504061049129,453.11993,2.1712565,-17.322998
1504061049230,453.89673,2.1699178,-18.474365
1504061049331,454.646,2.1692648,-19.468506
1504061049436,455.4167,2.1580772,-20.356445
1504061049547,456.17084,2.16262,-21.072754
1504061049651,456.88562,2.1626704,-21.586914
1504061049754,457.53375,2.1502657,-21.884766
1504061049860,458.12305,2.1496613,-21.980957
1504061049960,458.64886,2.1418083,-21.88379
1504061050066,459.1313,2.1283765,-21.585938
1504061050168,459.5592,2.1128752,-21.077637
1504061050272,459.91577,2.0970974,-20.373291
1504061050374,460.20752,2.0861893,-19.458252
1504061050483,460.43085,2.057736,-18.313232
1504061050585,460.5807,2.0387764,-16.902344
1504061050689,460.64435,2.0218735,-15.358643
1504061050790,460.6294,1.9926258,-13.5896
1504061050895,460.52954,1.9757543,-11.551758
1504061050998,460.33636,1.9362192,-9.233154
1504061051104,460.0558,1.9078912,-6.7297363
1504061051205,459.68713,1.8798392,-4.022949
1504061051314,459.19366,1.8412284,-0.89404297
1504061051417,458.60455,1.8028624,2.441162
1504061051528,457.88922,1.7763698,6.1367188
1504061051628,457.07812,1.7327584,10.028564
1504061051737,456.15747,1.6951429,14.190674
1504061051838,455.1258,1.657728,18.619629
1504061051941,454.0398,1.6197385,23.086182
1504061052042,452.82837,1.5767014,27.888428
1504061052144,451.43628,1.536885,33.232666
1504061052247,450.03156,1.4863352,38.467285
1504061052351,448.43884,1.4336461,44.253418
1504061052452,446.8197,1.387765,50.002197
1504061052552,445.06458,1.3454669,56.105713
1504061052660,443.1095,1.290883,62.776855
1504061052760,441.10712,1.2264615,69.490234
1504061052864,438.98016,1.1821227,76.50879
1504061052966,436.77295,1.1375746,83.68408
1504061053068,434.49298,1.0698894,90.997314
1504061053170,432.0523,1.0091652,98.72583
1504061053277,429.4975,0.9468536,106.71997
1504061053381,426.70093,0.8806519,115.36841
1504061053485,423.98956,0.82345635,123.661865
1504061053590,420.94666,0.7562523,132.86621
1504061053694,418.02295,0.68815535,141.61353
1504061053795,414.90704,0.61953926,150.86499
1504061053902,411.71527,0.54897076,160.29419
1504061054005,408.4947,0.47762313,169.78442
1504061054114,405.15692,0.40427843,179.61743
1504061054218,401.7699,0.3301076,189.60669
1504061054325,398.5122,0.25501594,199.24121
1504061054429,395.0492,0.19590752,209.52002
1504061054530,391.94897,0.12954703,218.75659
1504061054634,388.57,0.050152767,228.86157
1504061054735,385.39435,-0.009166046,238.39111
1504061054836,382.27777,-0.06909394,247.7666
1504061054949,379.02496,-0.11774747,257.57324
1504061055041,375.69336,-0.17956397,267.635
1504061055146,372.38568,-0.2540586,277.635
1504061055247,369.20856,-0.31716502,287.2422
1504061055348,366.05322,-0.38088107,296.77856
1504061055455,362.73596,-0.43310934,306.7893
1504061055556,359.3941,-0.49952766,316.8562
1504061055660,356.1848,-0.55209607,326.4956
1504061055764,352.84808,-0.62044936,336.48584
1504061055870,349.53912,-0.6596533,346.34888
1504061055973,346.22357,-0.71524906,356.1836
1504061056074,343.0495,-0.7866048,365.54858
1504061056178,339.64832,-0.84554636,375.52246
